Date,Open,Source,High,Low,Adj Close,Volume
2019-08-04,10821.632813,bitcoin,11009.207031,10620.27832,10970.18457,16530894787
2019-08-05,10960.735352,bitcoin,11895.091797,10960.735352,11805.65332,23875988832
2019-08-06,11811.544922,bitcoin,12273.821289,11290.731445,11478.168945,23635107660
2019-08-07,11476.193359,bitcoin,12036.990234,11433.701172,11941.96875,22194988641
2019-08-08,11954.040039,bitcoin,11979.419922,11556.167969,11966.407227,19481591730
2019-08-09,11953.469727,bitcoin,11970.458008,11709.745117,11862.936523,18339989960
2019-08-10,11861.556641,bitcoin,11915.655273,11323.898438,11354.024414,18125355447
2019-08-11,11349.740234,bitcoin,11523.579102,11248.294922,11523.579102,15774371518
2019-08-12,11528.189453,bitcoin,11528.189453,11320.951172,11382.616211,13647198229
2019-08-13,11385.052734,bitcoin,11420.049805,10830.327148,10895.830078,16681503537
2019-08-14,10889.487305,bitcoin,10889.556641,10028.135742,10051.704102,19990838300
2019-08-15,10038.421875,bitcoin,10437.411133,9675.316406,10311.545898,22899115082
2019-08-16,10319.419922,bitcoin,10524.349609,9855.478516,10374.338867,20228207096
2019-08-17,10358.722656,bitcoin,10452.625,10086.698242,10231.744141,13778035685
2019-08-18,10233.005859,bitcoin,10487.070313,10119.094727,10345.810547,12999813869
2019-08-19,10350.283203,bitcoin,10916.053711,10313.204102,10916.053711,16038264603
2019-08-20,10916.34668,bitcoin,10947.041992,10618.960938,10763.232422,15053082175
2019-08-21,10764.572266,bitcoin,10798.729492,9962.72168,10138.049805,19473084768
2019-08-22,10142.521484,bitcoin,10232.996094,9831.462891,10131.055664,17097508856
2019-08-23,10136.30957,bitcoin,10442.443359,10078.192383,10407.964844,15627023886
2019-08-24,10407.644531,bitcoin,10418.020508,9982.296875,10159.960938,15451030650
2019-08-25,10160.737305,bitcoin,10304.62207,10008.789063,10138.517578,14153856610
2019-08-26,10126.299805,bitcoin,10512.328125,10126.299805,10370.820313,18438654080
2019-08-27,10372.826172,bitcoin,10381.328125,10087.300781,10185.5,14762609503
2019-08-28,10203.426758,bitcoin,10279.366211,9716.65625,9754.422852,17603790323
2019-08-29,9756.786133,bitcoin,9756.786133,9421.629883,9510.200195,17045878501
2019-08-30,9514.844727,bitcoin,9656.124023,9428.302734,9598.173828,13595263986
2019-08-31,9597.539063,bitcoin,9673.220703,9531.799805,9630.664063,11454806419
2019-09-01,9630.592773,bitcoin,9796.755859,9582.944336,9757.970703,11445355859
2019-09-02,9757.473633,bitcoin,10396.591797,9730.650391,10346.760742,17248102294
2019-09-03,10345.725586,bitcoin,10736.104492,10308.547852,10623.540039,19384917989
2019-09-04,10621.180664,bitcoin,10762.644531,10434.709961,10594.493164,16742664769
2019-09-05,10588.183594,bitcoin,10627.269531,10516.417969,10575.533203,14551239508
2019-09-06,10578.198242,bitcoin,10898.761719,10292.299805,10353.302734,19536574783
